condition,w,sigma_d,success_mean,success_std,collision_mean,collision_std,effort_mean,effort_std,length_mean,length_std
C,0.4,0.02,0.682,0.10980664825045885,0.209,0.027477263328068168,0.14977555474825205,0.013704635253995514,270.552,3.10689274034363
C,0.4,0.05,0.604,0.09065042746727672,0.215,0.018708286933869705,0.14990722758509217,0.012363179727450383,269.982,2.1093085359899377
C,0.4,0.1,0.434,0.09574706261812947,0.251,0.021621748310439642,0.15030458427034318,0.007856208048544089,267.857,4.115360859025594
D,0.1,0.0,0.78,0.03391164991562634,0.16499999999999998,0.04373213921133974,0.1767900308072567,0.007187799643380351,275.838,6.024636503557691
D,0.1,0.02,0.713,0.06016643582596527,0.20600000000000002,0.05941380311005178,0.17438156309723857,0.008665528050996305,269.798,8.870805769489033
D,0.1,0.05,0.48500000000000004,0.023184046238739247,0.361,0.0423379262600331,0.16555935854278506,0.005351422620135386,248.686,6.387201460733811
D,0.1,0.1,0.209,0.026076809620810597,0.48600000000000004,0.03453259329966403,0.16913844150677323,0.008113134592468258,237.60100000000003,5.233375344841986
D,0.2,0.0,0.827,0.02387467277262661,0.091,0.018506755523321747,0.178531010389328,0.006228749339124195,286.62,2.518575986544791
D,0.2,0.02,0.8109999999999999,0.03435112807463531,0.094,0.026315394733881527,0.1789927727691829,0.006771405996642813,286.6,3.5344465620518224
D,0.2,0.05,0.6439999999999999,0.04628714724413251,0.18,0.03984344362627307,0.17357635009288788,0.007717179660659601,274.791,5.144936102615863
D,0.2,0.1,0.379,0.06278933030380243,0.317,0.040865633483405106,0.17088563868403434,0.008909328393877673,260.822,4.654497287570366
D,0.4,0.0,0.819,0.012942179105544706,0.084,0.02073644135332772,0.18927304333820938,0.00405359547022362,287.946,3.4624546928443727
D,0.4,0.02,0.797,0.020186629238186326,0.091,0.019493588689617924,0.1888722568489611,0.004665469362754507,287.08000000000004,3.446389415025539
D,0.4,0.05,0.6849999999999999,0.047565743976101076,0.121,0.025099800796022264,0.18764557888358832,0.003989959765921749,283.564,3.0017940468993
D,0.4,0.1,0.491,0.0658027355054484,0.16,0.023452078799117152,0.1921277543269098,0.004503442366665774,279.381,2.4551410346454667
E,0.1,0.0,0.0,0.0,0.0,0.0,0.0018994178625725909,0.002575221854966748,300.0,0.0
E,0.1,0.02,0.0,0.0,0.0,0.0,0.0019084619910136095,0.0025753106724150376,300.0,0.0
E,0.1,0.05,0.0,0.0,0.001,0.0022360679774997894,0.0019492502130015056,0.0025831808501010447,299.90999999999997,0.20124611797497519
E,0.1,0.1,0.001,0.0022360679774997894,0.003,0.0027386127875258306,0.0020768412871839245,0.002611313094421278,299.741,0.31237797617630997
E,0.2,0.0,0.0,0.0,0.0,0.0,0.0012216372239345218,0.0002383013070840559,300.0,0.0
E,0.2,0.02,0.0,0.0,0.0,0.0,0.0012279868392797654,0.0002391397002717982,300.0,0.0
E,0.2,0.05,0.0,0.0,0.0,0.0,0.0012566015470947605,0.00024585015777381055,300.0,0.0
E,0.2,0.1,0.001,0.0022360679774997894,0.007000000000000001,0.010368220676663861,0.0013379603618814144,0.0002706730736818788,299.5,0.5984250161883278
E,0.4,0.0,0.0,0.0,0.0,0.0,0.0018221600179822417,0.001049466415978071,300.0,0.0
E,0.4,0.02,0.0,0.0,0.0,0.0,0.001826025785805541,0.001046004536258454,300.0,0.0
E,0.4,0.05,0.0,0.0,0.0,0.0,0.0018548370455391705,0.0010313897658352663,300.0,0.0
E,0.4,0.1,0.001,0.0022360679774997894,0.004,0.006519202405202648,0.0019551656483381523,0.0009963640227355906,299.81100000000004,0.2718087562975063
