kind,w,seed,skill,eps,w2,killed
bridge,0.4,1,3,0.03,0.027201845513462223,0.039999961853027344
bridge,0.4,2,1,0.003,0.020087473908874276,0.0
bridge,0.4,2,1,0.01,0.020999989629567364,0.011999964714050293
bridge,0.4,2,1,0.03,0.024330383104411237,0.05799996852874756
bridge,0.4,2,2,0.003,0.050843460154728015,0.20999997854232788
bridge,0.4,2,2,0.01,0.055935453061617076,0.26799994707107544
bridge,0.4,2,2,0.03,0.0479015519483398,0.32399994134902954
bridge,0.4,2,3,0.003,0.02977482906755115,0.0
bridge,0.4,2,3,0.01,0.022035850576012192,0.003999948501586914
bridge,0.4,2,3,0.03,0.026823138990823364,0.03799992799758911
bridge,0.4,3,1,0.003,0.044364849536421835,0.0
bridge,0.4,3,1,0.01,0.0316673910848683,0.001999974250793457
bridge,0.4,3,1,0.03,0.03614566394196818,0.027999937534332275
bridge,0.4,3,2,0.003,0.0654839695989086,0.20999997854232788
bridge,0.4,3,2,0.01,0.05532735099848134,0.22999995946884155
bridge,0.4,3,2,0.03,0.06112873984134194,0.2359999418258667
bridge,0.4,3,3,0.003,0.030066007259939975,0.0
bridge,0.4,3,3,0.01,0.044398277089204914,0.00999993085861206
bridge,0.4,3,3,0.03,0.03581840195594168,0.031999945640563965
bridge,0.4,4,1,0.003,0.02846106820201183,0.0
bridge,0.4,4,1,0.01,0.02067717729393655,0.003999948501586914
bridge,0.4,4,1,0.03,0.0441512012162154,0.031999945640563965
bridge,0.4,4,2,0.003,0.058743923898135444,0.2279999852180481
bridge,0.4,4,2,0.01,0.054992005334136444,0.19399994611740112
bridge,0.4,4,2,0.03,0.051985178035613776,0.2459999918937683
bridge,0.4,4,3,0.003,0.039496666794921975,0.0
bridge,0.4,4,3,0.01,0.032612466397436,0.0
bridge,0.4,4,3,0.03,0.04036761321648626,0.03799992799758911
flow0,0.1,0,1,0.003,0.017298373372894683,0.007999956607818604
flow0,0.1,0,1,0.01,0.013704356122827518,0.01399993896484375
flow0,0.1,0,1,0.03,0.037542747067897966,0.15999996662139893
flow0,0.1,0,2,0.003,0.01413083068908959,0.3019999861717224
flow0,0.1,0,2,0.01,0.017998309554318588,0.527999997138977
flow0,0.1,0,2,0.03,0.030968072698984463,0.7400000095367432
flow0,0.1,0,3,0.003,0.02488722280191376,0.0
flow0,0.1,0,3,0.01,0.034301897249079144,0.015999972820281982
flow0,0.1,0,3,0.03,0.040175364788141675,0.12599998712539673
flow0,0.1,1,1,0.003,0.020693626396574467,0.003999948501586914
flow0,0.1,1,1,0.01,0.018144625668673534,0.029999971389770508
flow0,0.1,1,1,0.03,0.02494758927734323,0.10399997234344482
flow0,0.1,1,2,0.003,0.0136783421723234,0.29399996995925903
flow0,0.1,1,2,0.01,0.0333352895799237,0.4860000014305115
flow0,0.1,1,2,0.03,0.033429684311624255,0.7580000162124634
flow0,0.1,1,3,0.003,0.058070841983825026,0.0
flow0,0.1,1,3,0.01,0.03039037731853579,0.0059999823570251465
flow0,0.1,1,3,0.03,0.03639449325310397,0.13799995183944702
flow0,0.1,2,1,0.003,0.02908534786908396,0.0
flow0,0.1,2,1,0.01,0.02710711226697205,0.0059999823570251465
flow0,0.1,2,1,0.03,0.022542373050775624,0.13199996948242188
flow0,0.1,2,2,0.003,0.015586775284448665,0.26799994707107544
flow0,0.1,2,2,0.01,0.020531874100247236,0.5199999809265137
flow0,0.1,2,2,0.03,0.04145529867209267,0.7179999947547913
flow0,0.1,2,3,0.003,0.028949962261241458,0.0
flow0,0.1,2,3,0.01,0.04597744201490552,0.0059999823570251465
flow0,0.1,2,3,0.03,0.02583124363483967,0.13999998569488525
flow0,0.1,3,1,0.003,0.03457500154311977,0.0
flow0,0.1,3,1,0.01,0.010645298553060397,0.011999964714050293
flow0,0.1,3,1,0.03,0.02436501333743751,0.09199994802474976
flow0,0.1,3,2,0.003,0.018254893580797866,0.27399998903274536
flow0,0.1,3,2,0.01,0.01911365509961068,0.49799996614456177
flow0,0.1,3,2,0.03,0.0367573316956979,0.699999988079071
flow0,0.1,3,3,0.003,0.03296759837153144,0.0
flow0,0.1,3,3,0.01,0.03875659971612969,0.007999956607818604
flow0,0.1,3,3,0.03,0.036876241352415656,0.13399994373321533
flow0,0.1,4,1,0.003,0.01764243712705994,0.0
flow0,0.1,4,1,0.01,0.016323752906210746,0.0059999823570251465
flow0,0.1,4,1,0.03,0.0308971565475206,0.1199999451637268
flow0,0.1,4,2,0.003,0.025970820898585757,0.2779999375343323
flow0,0.1,4,2,0.01,0.012120624404940555,0.4899999499320984
flow0,0.1,4,2,0.03,0.034151799853913804,0.777999997138977
flow0,0.1,4,3,0.003,0.04522527447394151,0.001999974250793457
flow0,0.1,4,3,0.01,0.04866617983961755,0.007999956607818604
flow0,0.1,4,3,0.03,0.03777497801189772,0.13199996948242188
flow0,0.2,0,1,0.003,0.018502189199558216,0.007999956607818604
flow0,0.2,0,1,0.01,0.02308006406134682,0.0059999823570251465
flow0,0.2,0,1,0.03,0.04107834536805173,0.0979999303817749
flow0,0.2,0,2,0.003,0.02105007480458941,0.13799995183944702
flow0,0.2,0,2,0.01,0.02322741460923919,0.23799997568130493
flow0,0.2,0,2,0.03,0.03250182194266093,0.4699999690055847
flow0,0.2,0,3,0.003,0.027083986392828007,0.0
flow0,0.2,0,3,0.01,0.03585648190077413,0.011999964714050293
flow0,0.2,0,3,0.03,0.03636137747288204,0.06599998474121094
flow0,0.2,1,1,0.003,0.019417224616705996,0.003999948501586914
flow0,0.2,1,1,0.01,0.016170547802265182,0.023999929428100586
flow0,0.2,1,1,0.03,0.028295673383432602,0.06199997663497925
flow0,0.2,1,2,0.003,0.018793554723008088,0.17199993133544922
flow0,0.2,1,2,0.01,0.04162746441206955,0.26399993896484375
flow0,0.2,1,2,0.03,0.030084278644070383,0.5059999823570251
