condition,w,sigma_d,seed,handoff,n_reached,w2
A0.003,0.4,0.1,0,2,200,0.052385286685577605
A0.003,0.4,0.1,1,1,200,0.05830315957723389
A0.003,0.4,0.1,1,2,200,0.04111631639089276
A0.003,0.4,0.1,2,1,200,0.02744445373559167
A0.003,0.4,0.1,2,2,200,0.05356280950644668
A0.003,0.4,0.1,3,1,200,0.04716060584365875
A0.003,0.4,0.1,3,2,200,0.059613869059933586
A0.003,0.4,0.1,4,1,200,0.03577963215908627
A0.003,0.4,0.1,4,2,200,0.052801201924470895
A0.01,0.1,0.0,0,1,200,0.014750860701456685
A0.01,0.1,0.0,0,2,200,0.02146214037190626
A0.01,0.1,0.0,1,1,200,0.016077307549265726
A0.01,0.1,0.0,1,2,200,0.027807831432740716
A0.01,0.1,0.0,2,1,200,0.0289659760510915
A0.01,0.1,0.0,2,2,200,0.01862615172789164
A0.01,0.1,0.0,3,1,200,0.015107074876434612
A0.01,0.1,0.0,3,2,200,0.018679311787568542
A0.01,0.1,0.0,4,1,200,0.01546748628554917
A0.01,0.1,0.0,4,2,200,0.016058012402005734
A0.01,0.1,0.02,0,1,200,0.014264828864591808
A0.01,0.1,0.02,0,2,200,0.022776492572220444
A0.01,0.1,0.02,1,1,200,0.018607164854060075
A0.01,0.1,0.02,1,2,200,0.02447895797147788
A0.01,0.1,0.02,2,1,200,0.027937459500344534
A0.01,0.1,0.02,2,2,200,0.02066965496453141
A0.01,0.1,0.02,3,1,200,0.020312627802081047
A0.01,0.1,0.02,3,2,200,0.01835068390378504
A0.01,0.1,0.02,4,1,200,0.017233471043713387
A0.01,0.1,0.02,4,2,200,0.015929402072560935
A0.01,0.1,0.05,0,1,200,0.01329334416722714
A0.01,0.1,0.05,0,2,200,0.020809108909344894
A0.01,0.1,0.05,1,1,200,0.016103098937850526
A0.01,0.1,0.05,1,2,200,0.027886275583058395
A0.01,0.1,0.05,2,1,200,0.027131376183646302
A0.01,0.1,0.05,2,2,200,0.019787972243295315
A0.01,0.1,0.05,3,1,200,0.01659829750885201
A0.01,0.1,0.05,3,2,200,0.018784567655712594
A0.01,0.1,0.05,4,1,200,0.01588141658948364
A0.01,0.1,0.05,4,2,200,0.015840245315321397
A0.01,0.1,0.1,0,1,200,0.013447578270005643
A0.01,0.1,0.1,0,2,200,0.026190512208702256
A0.01,0.1,0.1,1,1,200,0.020493590783462173
A0.01,0.1,0.1,1,2,200,0.02357799831533331
A0.01,0.1,0.1,2,1,200,0.029880215494763003
