cond,w,seed,step,ret,success
C,0.1,0,1048576,-0.34124439597129824,0.46
C,0.1,0,1064960,-0.3528181952238083,0.455
C,0.1,0,1081344,-0.4029287904500961,0.42
C,0.1,0,1097728,-0.401924197524786,0.43
C,0.1,0,1114112,-0.43154055282473563,0.42
C,0.1,0,1130496,-0.3541631561517715,0.47
C,0.1,0,1146880,-0.40660550341010093,0.435
C,0.1,0,1163264,-0.40105215400457384,0.435
C,0.1,0,1179648,-0.41005610704421996,0.425
C,0.1,0,1196032,-0.3749144299328327,0.445
C,0.1,0,1212416,-0.4008175279200077,0.42
C,0.1,0,1228800,-0.4120134820044041,0.415
C,0.1,0,1245184,-0.36183155357837676,0.455
C,0.1,0,1261568,-0.319872594922781,0.49
C,0.1,0,1277952,-0.3548447008430958,0.485
C,0.1,0,1294336,-0.36721192121505736,0.465
C,0.1,0,1310720,-0.37388553097844124,0.455
C,0.1,0,1327104,-0.3642898032069206,0.45
C,0.1,0,1343488,-0.3482805222272873,0.46
C,0.1,0,1359872,-0.3550636844336987,0.46
C,0.1,0,1376256,-0.41962699726223945,0.43
C,0.1,0,1392640,-0.45630728542804716,0.405
C,0.1,0,1409024,-0.4377819859981537,0.415
C,0.1,0,1425408,-0.38795037239789965,0.44
C,0.1,0,1441792,-0.386083659529686,0.425
C,0.1,0,1458176,-0.4394130133092403,0.395
C,0.1,0,1474560,-0.3516768765449524,0.445
C,0.1,0,1490944,-0.35049268648028375,0.45
C,0.1,0,1507328,-0.2982455235719681,0.49
C,0.1,0,1523712,-0.3577292896807194,0.45
C,0.1,0,1540096,-0.2916271214187145,0.485
C,0.1,0,1556480,-0.31377523481845854,0.475
C,0.1,0,1572864,-0.3760648134350777,0.445
C,0.1,0,1589248,-0.46463288575410844,0.395
C,0.1,0,1605632,-0.4049167343974113,0.425
C,0.1,0,1622016,-0.3322610867023468,0.475
C,0.1,0,1638400,-0.3362908113002777,0.48
C,0.1,0,1654784,-0.37396742329001426,0.46
C,0.1,0,1671168,-0.42186418682336807,0.425
C,0.1,0,1687552,-0.2848141498863697,0.495
C,0.1,0,1703936,-0.30015717893838884,0.495
C,0.1,0,1720320,-0.2979210077226162,0.495
C,0.1,0,1736704,-0.32490650728344916,0.475
C,0.1,0,1753088,-0.31086015194654465,0.475
C,0.1,0,1769472,-0.37278177082538605,0.435
C,0.1,0,1785856,-0.37904163300991056,0.45
C,0.1,0,1802240,-0.4262576691806316,0.425
C,0.1,0,1818624,-0.42055243089795113,0.43
C,0.1,0,1835008,-0.43612255483865736,0.42
C,0.1,0,1851392,-0.365605279058218,0.455
C,0.1,0,1867776,-0.4079588666558266,0.43
C,0.1,0,1884160,-0.37213624984025956,0.44
C,0.1,0,1900544,-0.388574626147747,0.425
C,0.1,0,1916928,-0.4093391691148281,0.4
C,0.1,0,1933312,-0.4327947361767292,0.4
C,0.1,0,1949696,-0.43392499923706057,0.405
C,0.1,0,1966080,-0.3901550199091435,0.44
C,0.1,0,1982464,-0.38986352443695066,0.44
C,0.1,0,1998848,-0.39314840465784073,0.425
C,0.1,1,16384,-1.0447587966918945,0.0
C,0.1,1,32768,-1.079031777381897,0.0
C,0.1,1,49152,-1.1378285456926396,0.0
