kind,w,seed,skill,iter,coupling_cost,sinkhorn,w2,killed
bridge,0.1,2,3,4,0.08838353306055069,0.00877506285905838,0.03170310323291363,0.003999948501586914
bridge,0.1,2,3,5,0.09330721199512482,0.008410448208451271,0.027044858951905202,0.01399993896484375
bridge,0.1,3,1,0,0.09999223053455353,0.0039249612018466,0.01076532616359675,0.015999972820281982
bridge,0.1,3,1,1,0.0863187164068222,0.0041358997114002705,0.013456748124851254,0.023999929428100586
bridge,0.1,3,1,2,0.08834990113973618,0.004476596601307392,0.023074218994422146,0.04599994421005249
bridge,0.1,3,1,3,0.09678743034601212,0.0042504360899329185,0.020399603757448394,0.01399993896484375
bridge,0.1,3,1,4,0.09305614233016968,0.004634115844964981,0.026988775714613326,0.007999956607818604
bridge,0.1,3,1,5,0.0852900967001915,0.004073373042047024,0.01321472873834289,0.003999948501586914
bridge,0.1,3,2,0,0.030691830441355705,0.004245606251060963,0.021171606616138903,0.5719999670982361
bridge,0.1,3,2,1,0.027641937136650085,0.004278846085071564,0.02431394980291154,0.4919999837875366
bridge,0.1,3,2,2,0.029998209327459335,0.004361655097454786,0.015556166553000806,0.48399996757507324
bridge,0.1,3,2,3,0.03014843724668026,0.004547391086816788,0.024382740269856377,0.5019999742507935
bridge,0.1,3,2,4,0.030217548832297325,0.0038317819125950336,0.013069183116440636,0.5219999551773071
bridge,0.1,3,2,5,0.0294952429831028,0.004006120376288891,0.019231104025639996,0.5239999890327454
bridge,0.1,3,3,0,0.09992771595716476,0.00872068852186203,0.030179454192377185,0.001999974250793457
bridge,0.1,3,3,1,0.09249524027109146,0.00836977083235979,0.025502558148768346,0.015999972820281982
bridge,0.1,3,3,2,0.09133388102054596,0.011465580202639103,0.05851990935020342,0.011999964714050293
bridge,0.1,3,3,3,0.09312568604946136,0.008623627945780754,0.029261559767074313,0.01399993896484375
bridge,0.1,3,3,4,0.08973146975040436,0.015070980414748192,0.08420666001067854,0.007999956607818604
bridge,0.1,3,3,5,0.08698368072509766,0.008610047399997711,0.02966055523129263,0.0059999823570251465
bridge,0.1,4,1,0,0.100338876247406,0.0040059383027255535,0.014700057034640926,0.00999993085861206
bridge,0.1,4,1,1,0.09175751358270645,0.004489196464419365,0.016728577675130554,0.01799994707107544
bridge,0.1,4,1,2,0.09464635699987411,0.0040420712903141975,0.013442835035109712,0.01399993896484375
bridge,0.1,4,1,3,0.09257618337869644,0.004332324489951134,0.020205581064244374,0.0059999823570251465
bridge,0.1,4,1,4,0.09154605120420456,0.004050516523420811,0.016111226936256103,0.01399993896484375
bridge,0.1,4,1,5,0.08696778118610382,0.004035739228129387,0.013938907580037295,0.003999948501586914
bridge,0.1,4,2,0,0.03085646592080593,0.003721489803865552,0.015175786613513619,0.5180000066757202
bridge,0.1,4,2,1,0.0308610238134861,0.003928227350115776,0.015174473188570141,0.4779999852180481
bridge,0.1,4,2,2,0.028086550533771515,0.0041821980848908424,0.01773237768689615,0.4860000014305115
bridge,0.1,4,2,3,0.02945803292095661,0.003825148567557335,0.014358044096652804,0.5460000038146973
bridge,0.1,4,2,4,0.03021029196679592,0.003738089231774211,0.016106303151623813,0.5059999823570251
