condition,rough,sigma_k,seed,handoff,w2
BRIDGE-plain,mild,0.1,2,1,0.10415761613223122
BRIDGE-plain,mild,0.1,2,2,0.13451429303841966
BRIDGE-plain,mild,0.1,3,1,0.10470187155416248
BRIDGE-plain,mild,0.1,3,2,0.12334687577387063
BRIDGE-plain,mild,0.1,4,1,0.08996794281306335
BRIDGE-plain,mild,0.1,4,2,0.11173043899505357
BRIDGE-plain,mild,0.15,0,1,0.15378734132675637
BRIDGE-plain,mild,0.15,0,2,0.1820672339241424
BRIDGE-plain,mild,0.15,1,1,0.14562207964833052
BRIDGE-plain,mild,0.15,1,2,0.18516499030225633
BRIDGE-plain,mild,0.15,2,1,0.17359339874712723
BRIDGE-plain,mild,0.15,2,2,0.1986532896815169
BRIDGE-plain,mild,0.15,3,1,0.16054371721894856
BRIDGE-plain,mild,0.15,3,2,0.1895927966828494
BRIDGE-plain,mild,0.15,4,1,0.1420064965950854
BRIDGE-plain,mild,0.15,4,2,0.17772569948038877
BRIDGE-plain,rough,0.0,0,1,0.06424448582553706
BRIDGE-plain,rough,0.0,0,2,0.08404238242188249
BRIDGE-plain,rough,0.0,1,1,0.06960203994237105
BRIDGE-plain,rough,0.0,1,2,0.09283814857195682
BRIDGE-plain,rough,0.0,2,1,0.06584309598172547
BRIDGE-plain,rough,0.0,2,2,0.09407096479733247
BRIDGE-plain,rough,0.0,3,1,0.055143128392790806
BRIDGE-plain,rough,0.0,3,2,0.091401046361371
BRIDGE-plain,rough,0.0,4,1,0.053715058677310475
BRIDGE-plain,rough,0.0,4,2,0.08779275474765677
BRIDGE-plain,rough,0.03,0,1,0.0615423248252142
BRIDGE-plain,rough,0.03,0,2,0.08286760487856983
BRIDGE-plain,rough,0.03,1,1,0.0541215666244456
BRIDGE-plain,rough,0.03,1,2,0.08543391819246363
BRIDGE-plain,rough,0.03,2,1,0.05812378153158423
BRIDGE-plain,rough,0.03,2,2,0.08939546670469635
BRIDGE-plain,rough,0.03,3,1,0.07349500257035166
BRIDGE-plain,rough,0.03,3,2,0.09222298992199011
BRIDGE-plain,rough,0.03,4,1,0.06591918467329212
BRIDGE-plain,rough,0.03,4,2,0.09144442279853303
BRIDGE-plain,rough,0.06,0,1,0.0658298506252824
BRIDGE-plain,rough,0.06,0,2,0.09125150425893694
BRIDGE-plain,rough,0.06,1,1,0.06152556779089377
BRIDGE-plain,rough,0.06,1,2,0.08190391274926366
BRIDGE-plain,rough,0.06,2,1,0.0650443319041387
BRIDGE-plain,rough,0.06,2,2,0.09520146155505428
BRIDGE-plain,rough,0.06,3,1,0.0766791971396875
BRIDGE-plain,rough,0.06,3,2,0.09912835202683846
BRIDGE-plain,rough,0.06,4,1,0.0667703123634343
BRIDGE-plain,rough,0.06,4,2,0.08768587033704035
BRIDGE-plain,rough,0.1,0,1,0.08319107692475045
BRIDGE-plain,rough,0.1,0,2,0.11357757147678078
BRIDGE-plain,rough,0.1,1,1,0.08856772308171232
BRIDGE-plain,rough,0.1,1,2,0.11117057482915876
BRIDGE-plain,rough,0.1,2,1,0.09528563621183103
BRIDGE-plain,rough,0.1,2,2,0.12757616244298964
BRIDGE-plain,rough,0.1,3,1,0.09705300837757737
BRIDGE-plain,rough,0.1,3,2,0.12337149138067519
BRIDGE-plain,rough,0.1,4,1,0.08818498814137396
BRIDGE-plain,rough,0.1,4,2,0.1121071249251125
BRIDGE-plain,rough,0.15,0,1,0.12271238846018064
BRIDGE-plain,rough,0.15,0,2,0.15101923860136354
BRIDGE-plain,rough,0.15,1,1,0.12103538642499301
BRIDGE-plain,rough,0.15,1,2,0.15307731310786793
BRIDGE-plain,rough,0.15,2,1,0.14197484293765705
BRIDGE-plain,rough,0.15,2,2,0.17356537789782533
BRIDGE-plain,rough,0.15,3,1,0.139883614137395
BRIDGE-plain,rough,0.15,3,2,0.17826053862255917
BRIDGE-plain,rough,0.15,4,1,0.12005361925878817
BRIDGE-plain,rough,0.15,4,2,0.1489335833915178
BRIDGE-obs,mild,0.0,0,1,0.03827274873502706
BRIDGE-obs,mild,0.0,0,2,0.06401862909699126
BRIDGE-obs,mild,0.0,1,1,0.04372822844835188
BRIDGE-obs,mild,0.0,1,2,0.06411020067951483
BRIDGE-obs,mild,0.0,2,1,0.037178832776588636
BRIDGE-obs,mild,0.0,2,2,0.06670221905493579
BRIDGE-obs,mild,0.0,3,1,0.04557555681797859
