condition,rough,sigma_k,success_mean,success_std,effort_mean,effort_std,corridor_dev_mean,corridor_dev_std,rec_median_mean,rec_median_std,never_mean,never_std,n_push,handoff1_w2_mean,handoff2_w2_mean,handoff1_w2_std,handoff2_w2_std
BRIDGE-plain,rough,0.06,0.335,0.054658027772688605,0.3960585322454572,0.011065557290013767,0.14034599746763707,0.002151478517428853,9.8,0.44721359549995815,0.21873860348558855,0.01645214792640343,1688.0,0.06716985196468733,0.09103422018542674,0.005673593669408452,0.006661494649354896
BRIDGE-plain,rough,0.1,0.271,0.03629738282576306,0.4584818785190582,0.014884701291851465,0.16440332455933096,0.003666391195390862,12.4,0.8944271909999159,0.27913608154325814,0.008343769986976871,2172.0,0.09045648654744902,0.11756058501094338,0.005664540938157854,0.007424878416167638
BRIDGE-plain,rough,0.15,0.20099999999999998,0.03324154027718933,0.5685140478312969,0.02089678797679558,0.19918812107294798,0.005029284807619995,13.4,1.51657508881031,0.31864121879779683,0.017060494547528508,2266.0,0.12913197024380277,0.16097121032422676,0.010836505223824558,0.013818409337597317
ORACLE,mild,0.0,0.999,0.0022360679774997825,0.9206324812173843,0.004952293040169872,0.20610685829818248,0.0008918946956880974,,,,,,0.02761042967672824,0.027062015411189994,0.0027531167321970754,0.0035633369319662315
ORACLE,mild,0.03,0.992,0.008366600265340755,0.9801972492337226,0.004269955799319472,0.20621522732079028,0.001002299276526994,4.0,0.7071067811865476,0.042844817420159886,0.018075308678995015,375.0,0.026027107026511287,0.02373264857401321,0.0024851424121908705,0.001653896313735283
ORACLE,mild,0.06,0.9480000000000001,0.0044721359549995425,1.107430969119072,0.0040607422886873145,0.20658887591958047,0.0011109585673685699,7.2,0.44721359549995804,0.0706579451772418,0.009652524110682298,1717.0,0.021369086521348075,0.021977862880189648,0.003347482859694625,0.001994399532328507
ORACLE,mild,0.1,0.8620000000000001,0.03174114049620772,1.2895144058465957,0.005932507441109465,0.20953445732593537,0.0014930584851279296,10.8,0.44721359549995815,0.12772496111473736,0.016550371879026495,2648.0,0.03416777659498648,0.03191130269286187,0.006634289483895448,0.008179534922338104
ORACLE,mild,0.15,0.733,0.04410215414239989,1.4918226295709611,0.009687510923290656,0.2195317051410675,0.0022929045286327714,13.4,0.5477225575051661,0.17750025082024154,0.02334825488865986,2978.0,0.07590579969420612,0.07425788248851503,0.01152824444542682,0.012974990106788991
ORACLE,rough,0.0,0.986,0.011937336386313354,1.1580250060558321,0.007193074632140388,0.19492861030995848,0.0007246182858692241,,,,,,0.024192065324483737,0.024748724829404444,0.0025145381348155387,0.0031939150792931505
ORACLE,rough,0.03,0.97,0.007905694150420958,1.2183086520433426,0.006932773417370377,0.1950644588470459,0.00131410994335309,4.0,0.7071067811865476,0.047637822414328894,0.016514452180672008,376.0,0.0232753512403788,0.020935699153967452,0.0030513066307912406,0.002606989080962796
ORACLE,rough,0.06,0.915,0.01903943276465981,1.3462290173768996,0.008023511517250836,0.1957932964116335,0.0013300285810874022,7.8,0.44721359549995787,0.0883144603307771,0.013561208173683333,1688.0,0.0210748461907343,0.021801430220367193,0.004215714605121029,0.0022041245475614996
ORACLE,rough,0.1,0.8099999999999999,0.03221024681681281,1.5250245043635369,0.009467915496107787,0.20020477272570134,0.001882175099424973,10.9,0.7416198487095663,0.14410286083299995,0.014876658268036445,2564.0,0.0386040909033658,0.039621214347685806,0.004684417619404168,0.007795559841420849
